ID,Geography,MALE_TTL,NO DIPLOMA,DIPLOMA,BACHELORS,GRADUATE,FEMALE_TTL,POP_TTL,MILS,GENX,BOOMERS,SILENTS,CLINTON,TRUMP,WINNER,TOTALVOTES
48001,"Anderson County, Texas",29560,9652,17948,3221,1604,17138,57915,15811,13842,15753,3185,20,78,TRUMP,16977
48003,"Andrews County, Texas",5892,2907,4139,937,286,5774,16775,4680,3321,3590,839,17,79,TRUMP,4943
48005,"Angelina County, Texas",31214,12955,20621,6086,2923,33472,87748,22902,16584,23341,5616,25,72,TRUMP,29911
48007,"Aransas County, Texas",9738,3246,6223,2298,1265,9980,24292,4591,4032,9304,2624,23,74,TRUMP,10512
48009,"Archer County, Texas",3359,820,2503,1041,262,3448,8779,2002,1659,2932,676,9,88,TRUMP,4283
48011,"Armstrong County, Texas",760,142,431,239,95,783,1943,437,344,651,194,7,90,TRUMP,1021
48013,"Atascosa County, Texas",16669,7979,12192,2956,1415,17161,47050,12280,8704,12468,2588,34,63,TRUMP,13673
48015,"Austin County, Texas",10684,3425,7057,2890,1103,11061,28886,6528,5459,9070,1964,19,79,TRUMP,12274
48017,"Bailey County, Texas",2543,1681,1677,198,138,2400,7126,1746,1254,1696,599,22,75,TRUMP,1793
48019,"Bandera County, Texas",8517,2522,5224,2461,1141,8561,20796,3681,3369,8921,1851,17,80,TRUMP,10218
48021,"Bastrop County, Texas",29182,11419,17754,6324,3022,27980,76948,18391,15467,22777,3924,37,57,TRUMP,28454
48023,"Baylor County, Texas",1303,381,931,518,165,1557,3628,613,729,1288,432,13,85,TRUMP,1499
48025,"Bee County, Texas",16319,6998,8806,1403,751,9438,32659,10418,7152,7708,1600,41,56,TRUMP,8485
48027,"Bell County, Texas",116069,23934,70468,31800,15674,118713,326041,109550,59339,66186,12716,40,55,TRUMP,94994
48029,"Bexar County, Texas",652701,221741,351781,209763,110611,691297,1825502,556778,357798,421691,83973,54,41,CLINTON,589645
48031,"Blanco County, Texas",4248,974,2590,1667,691,4384,10723,1962,1877,4311,858,22,74,TRUMP,5685
48033,"Borden County, Texas",241,38,145,103,48,256,705,152,119,161,88,8,90,TRUMP,365
48035,"Bosque County, Texas",6809,2530,4891,1517,698,7190,17971,3594,3001,6326,1797,16,81,TRUMP,7838
48037,"Bowie County, Texas",35581,9372,25919,7703,3979,35267,93155,24593,18165,25711,6148,26,72,TRUMP,34602
48039,"Brazoria County, Texas",122220,34157,63945,41770,21582,119675,331741,88243,72320,82272,13601,36,60,TRUMP,121181
48041,"Brazos County, Texas",82507,18274,28550,28010,19435,80619,205271,97298,30380,34691,6979,34,58,TRUMP,67211
48043,"Brewster County, Texas",3715,872,1602,1635,1065,3694,9235,2198,1718,3121,619,44,49,TRUMP,4252
48045,"Briscoe County, Texas",644,289,320,189,65,617,1670,376,311,518,152,12,85,TRUMP,736
48047,"Brooks County, Texas",2884,1602,2040,344,181,2725,7221,2448,1141,1661,570,75,24,CLINTON,2596
48049,"Brown County, Texas",14256,4342,10784,3597,1244,14867,37833,9420,6545,11615,3102,12,86,TRUMP,14026
48051,"Burleson County, Texas",6490,2864,4809,1271,589,6806,17293,3753,3268,5499,1453,21,76,TRUMP,6960
48053,"Burnet County, Texas",16884,5443,11260,4930,2203,17509,44144,9756,7504,15053,3885,20,76,TRUMP,19204
48055,"Caldwell County, Texas",14807,6228,11397,2896,1122,14890,39347,11725,7476,10348,2164,40,55,TRUMP,12092
48057,"Calhoun County, Texas",8151,3288,5219,1606,789,7974,21666,5503,3965,6175,1495,30,67,TRUMP,6965
48059,"Callahan County, Texas",4994,1329,4077,1052,337,5313,13532,2828,2436,4506,1137,10,87,TRUMP,5579
48061,"Cameron County, Texas",133640,94793,72633,29480,11206,150909,417947,117443,76484,90277,22569,65,32,CLINTON,92079
48063,"Camp County, Texas",4404,2052,3330,811,361,4807,12516,3204,2115,3530,951,28,70,TRUMP,4542
48065,"Carson County, Texas",2163,533,1267,652,365,2353,6068,1390,1001,1905,467,8,88,TRUMP,2964
48067,"Cass County, Texas",11167,3371,10298,2130,849,12298,30328,6642,5398,10039,2699,19,79,TRUMP,12344
48069,"Castro County, Texas",2796,1631,1865,465,183,2718,7948,1971,1383,2003,572,26,71,TRUMP,1997
48071,"Chambers County, Texas",13470,4748,8940,3204,1270,13423,37251,9611,8121,9574,1378,18,79,TRUMP,16786
48073,"Cherokee County, Texas",19359,8363,12651,4157,1374,18662,51167,12945,9517,14173,3531,21,77,TRUMP,16790
48075,"Childress County, Texas",3430,921,2218,579,272,2204,7059,2372,1200,1765,508,12,86,TRUMP,2084
48077,"Clay County, Texas",4021,986,3186,861,363,4158,10479,2190,1834,3751,880,11,87,TRUMP,5018
48079,"Cochran County, Texas",1061,753,623,135,87,1072,2993,790,524,748,215,21,75,TRUMP,901
48081,"Coke County, Texas",1262,314,856,390,155,1335,3238,554,576,1221,369,10,89,TRUMP,1423
48083,"Coleman County, Texas",3338,1291,2727,571,158,3353,8536,1733,1374,3116,828,11,87,TRUMP,3643
48085,"Collin County, Texas",302206,45601,106256,188426,98469,322486,862215,221589,212967,203483,28453,39,56,TRUMP,361419
48087,"Collingsworth County, Texas",1099,532,698,261,91,1138,3058,700,361,985,281,13,85,TRUMP,1156
48089,"Colorado County, Texas",7865,2881,6142,2200,606,8088,20757,4484,3425,6829,1993,23,74,TRUMP,8513
48091,"Comal County, Texas",44896,9131,24895,19720,8719,46991,119632,26798,22969,39479,7896,23,73,TRUMP,62178
48093,"Comanche County, Texas",5124,2260,3919,1112,489,5322,13623,2834,2370,4468,1321,15,83,TRUMP,5237
48095,"Concho County, Texas",2398,1244,1085,273,104,1015,4086,1079,1009,1099,294,14,83,TRUMP,1068
48097,"Cooke County, Texas",14337,4011,9577,3971,1620,14951,38761,9613,6744,11977,2830,15,83,TRUMP,15955
48099,"Coryell County, Texas",27616,6623,18588,5150,2023,28827,76128,27102,15606,14008,2512,28,67,TRUMP,18253
48101,"Cottle County, Texas",523,270,338,122,39,593,1510,266,148,598,163,15,83,TRUMP,612
48103,"Crane County, Texas",1647,950,1033,272,98,1680,4730,1320,856,1135,251,22,76,TRUMP,1384
48105,"Crockett County, Texas",1383,808,828,237,112,1447,3699,910,618,1254,200,27,70,TRUMP,1395
48107,"Crosby County, Texas",2069,1302,1388,352,99,2287,6007,1424,997,1706,481,27,68,TRUMP,1728
48109,"Culberson County, Texas",844,591,630,106,40,884,2296,661,328,726,142,59,37,CLINTON,767
48111,"Dallam County, Texas",2499,1149,1821,401,96,2333,7014,2139,1312,1473,224,14,82,TRUMP,1544
48113,"Dallas County, Texas",882901,400679,433415,314750,165969,930392,2485003,745501,516881,554156,96915,61,35,CLINTON,758973
48115,"Dawson County, Texas",5991,2997,3865,729,248,4316,13542,4361,2302,3196,934,23,74,TRUMP,3563
48117,"Deaf Smith County, Texas",6440,3460,4097,1289,449,6680,19245,5369,3406,4215,1058,28,69,TRUMP,4216
48119,"Delta County, Texas",1980,634,1366,528,160,2071,5223,1170,883,1755,444,18,80,TRUMP,2281
48121,"Denton County, Texas",261014,46113,107281,139725,60465,277359,731851,214432,171253,165398,20492,37,57,TRUMP,298645
48123,"DeWitt County, Texas",8361,3351,6232,1631,551,7613,20540,4642,3923,6224,1992,17,81,TRUMP,6844
48125,"Dickens County, Texas",943,449,483,191,66,850,2281,424,486,782,194,14,83,TRUMP,909
48127,"Dimmit County, Texas",3664,2320,2347,466,305,3829,10682,2724,1987,2660,662,67,30,CLINTON,3225
48129,"Donley County, Texas",1412,431,933,232,134,1477,3588,958,513,1123,416,13,84,TRUMP,1465
48131,"Duval County, Texas",4673,2741,3010,426,177,4131,11577,3276,2130,3010,903,67,32,CLINTON,4168
48133,"Eastland County, Texas",6831,2270,5207,1309,515,7445,18328,4509,2676,5993,1796,11,86,TRUMP,6963
48135,"Ector County, Texas",52482,26446,31653,10232,3677,52948,149557,46662,26621,32304,6281,28,68,TRUMP,36530
48137,"Edwards County, Texas",695,348,486,285,58,869,1906,337,366,753,177,28,70,TRUMP,1073
48139,"Ellis County, Texas",55253,17683,34485,15478,6264,58578,157058,41777,32040,40992,6753,26,71,TRUMP,63673
48141,"El Paso County, Texas",284926,134644,150644,78008,32960,307514,831095,255146,155415,182010,40724,69,26,CLINTON,214008
48143,"Erath County, Texas",15231,4223,8118,4794,1856,16271,40039,14854,6206,9409,2442,16,81,TRUMP,13893
48145,"Falls County, Texas",6358,3410,5065,1065,364,7338,17410,4527,3465,4997,1306,32,66,TRUMP,5248
48147,"Fannin County, Texas",14208,4889,9281,2428,1417,12341,33748,8302,6446,10529,2599,18,79,TRUMP,12044
48149,"Fayette County, Texas",9543,3911,7419,2107,806,10033,24849,4920,4075,8921,2609,19,78,TRUMP,11174
48151,"Fisher County, Texas",1539,492,1069,336,122,1526,3858,934,575,1238,424,23,73,TRUMP,1729
48153,"Floyd County, Texas",2153,1107,1320,549,145,2313,6178,1477,1081,1674,513,22,75,TRUMP,1959
