Id2,Geography,Estimate
48001,"Anderson County, Texas",57915
48003,"Andrews County, Texas",16775
48005,"Angelina County, Texas",87748
48007,"Aransas County, Texas",24292
48009,"Archer County, Texas",8779
48011,"Armstrong County, Texas",1943
48013,"Atascosa County, Texas",47050
48015,"Austin County, Texas",28886
48017,"Bailey County, Texas",7126
48019,"Bandera County, Texas",20796
48021,"Bastrop County, Texas",76948
48023,"Baylor County, Texas",3628
48025,"Bee County, Texas",32659
48027,"Bell County, Texas",326041
48029,"Bexar County, Texas",1825502
48031,"Blanco County, Texas",10723
48033,"Borden County, Texas",705
48035,"Bosque County, Texas",17971
48037,"Bowie County, Texas",93155
48039,"Brazoria County, Texas",331741
48041,"Brazos County, Texas",205271
48043,"Brewster County, Texas",9235
48045,"Briscoe County, Texas",1670
48047,"Brooks County, Texas",7221
48049,"Brown County, Texas",37833
48051,"Burleson County, Texas",17293
48053,"Burnet County, Texas",44144
48055,"Caldwell County, Texas",39347
48057,"Calhoun County, Texas",21666
48059,"Callahan County, Texas",13532
48061,"Cameron County, Texas",417947
48063,"Camp County, Texas",12516
48065,"Carson County, Texas",6068
48067,"Cass County, Texas",30328
48069,"Castro County, Texas",7948
48071,"Chambers County, Texas",37251
48073,"Cherokee County, Texas",51167
48075,"Childress County, Texas",7059
48077,"Clay County, Texas",10479
48079,"Cochran County, Texas",2993
48081,"Coke County, Texas",3238
48083,"Coleman County, Texas",8536
48085,"Collin County, Texas",862215
48087,"Collingsworth County, Texas",3058
48089,"Colorado County, Texas",20757
48091,"Comal County, Texas",119632
48093,"Comanche County, Texas",13623
48095,"Concho County, Texas",4086
48097,"Cooke County, Texas",38761
48099,"Coryell County, Texas",76128
48101,"Cottle County, Texas",1510
48103,"Crane County, Texas",4730
48105,"Crockett County, Texas",3699
48107,"Crosby County, Texas",6007
48109,"Culberson County, Texas",2296
48111,"Dallam County, Texas",7014
48113,"Dallas County, Texas",2485003
48115,"Dawson County, Texas",13542
48117,"Deaf Smith County, Texas",19245
48119,"Delta County, Texas",5223
48121,"Denton County, Texas",731851
48123,"DeWitt County, Texas",20540
48125,"Dickens County, Texas",2281
48127,"Dimmit County, Texas",10682
48129,"Donley County, Texas",3588
48131,"Duval County, Texas",11577
48133,"Eastland County, Texas",18328
48135,"Ector County, Texas",149557
48137,"Edwards County, Texas",1906
48139,"Ellis County, Texas",157058
48141,"El Paso County, Texas",831095
48143,"Erath County, Texas",40039
48145,"Falls County, Texas",17410
48147,"Fannin County, Texas",33748
48149,"Fayette County, Texas",24849
48151,"Fisher County, Texas",3858
48153,"Floyd County, Texas",6178
48155,"Foard County, Texas",1197
48157,"Fort Bend County, Texas",658331
48159,"Franklin County, Texas",10599
48161,"Freestone County, Texas",19586
48163,"Frio County, Texas",18168
48165,"Gaines County, Texas",18916
48167,"Galveston County, Texas",308163
48169,"Garza County, Texas",6410
48171,"Gillespie County, Texas",25398
48173,"Glasscock County, Texas",1180
48175,"Goliad County, Texas",7410
48177,"Gonzales County, Texas",20172
48179,"Gray County, Texas",22983
48181,"Grayson County, Texas",122780
48183,"Gregg County, Texas",123178
48185,"Grimes County, Texas",26961
48187,"Guadalupe County, Texas",143460
48189,"Hale County, Texas",35504
48191,"Hall County, Texas",3203
48193,"Hamilton County, Texas",8266
48195,"Hansford County, Texas",5559
48197,"Hardeman County, Texas",3992
48199,"Hardin County, Texas",55375
48201,"Harris County, Texas",4356362
48203,"Harrison County, Texas",66417
48205,"Hartley County, Texas",6121
48207,"Haskell County, Texas",5853
48209,"Hays County, Texas",177562
48211,"Hemphill County, Texas",4115
48213,"Henderson County, Texas",79016
48215,"Hidalgo County, Texas",819217
48217,"Hill County, Texas",34923
48219,"Hockley County, Texas",23322
48221,"Hood County, Texas",53171
48223,"Hopkins County, Texas",35645
48225,"Houston County, Texas",22949
48227,"Howard County, Texas",36105
48229,"Hudspeth County, Texas",3330
48231,"Hunt County, Texas",88052
48233,"Hutchinson County, Texas",21858
48235,"Irion County, Texas",1644
48237,"Jack County, Texas",8946
48239,"Jackson County, Texas",14486
48241,"Jasper County, Texas",35768
48243,"Jeff Davis County, Texas",2232
48245,"Jefferson County, Texas",252872
48247,"Jim Hogg County, Texas",5239
48249,"Jim Wells County, Texas",41461
48251,"Johnson County, Texas",155450
48253,"Jones County, Texas",19978
48255,"Karnes County, Texas",14879
48257,"Kaufman County, Texas",109289
48259,"Kendall County, Texas",37361
48261,"Kenedy County, Texas",565
48263,"Kent County, Texas",821
48265,"Kerr County, Texas",50149
48267,"Kimble County, Texas",4486
48269,"King County, Texas",267
48271,"Kinney County, Texas",3577
48273,"Kleberg County, Texas",32029
48275,"Knox County, Texas",3796
48277,"Lamar County, Texas",49566
48279,"Lamb County, Texas",13742
48281,"Lampasas County, Texas",20219
48283,"La Salle County, Texas",7191
48285,"Lavaca County, Texas",19549
48287,"Lee County, Texas",16664
48289,"Leon County, Texas",16819
48291,"Liberty County, Texas",77486
48293,"Limestone County, Texas",23454
48295,"Lipscomb County, Texas",3483
48297,"Live Oak County, Texas",11873
48299,"Llano County, Texas",19323
48301,"Loving County, Texas",117
48303,"Lubbock County, Texas",290782
48305,"Lynn County, Texas",5764
48307,"McCulloch County, Texas",8273
48309,"McLennan County, Texas",241505
48311,"McMullen County, Texas",778
48313,"Madison County, Texas",13838
48315,"Marion County, Texas",10248
48317,"Martin County, Texas",5252
48319,"Mason County, Texas",4066
48321,"Matagorda County, Texas",36598
48323,"Maverick County, Texas",56548
48325,"Medina County, Texas",47392
48327,"Menard County, Texas",2182
48329,"Midland County, Texas",151290
48331,"Milam County, Texas",24344
48333,"Mills County, Texas",4875
48335,"Mitchell County, Texas",9169
48337,"Montague County, Texas",19478
48339,"Montgomery County, Texas",502586
48341,"Moore County, Texas",22281
48343,"Morris County, Texas",12700
48345,"Motley County, Texas",1071
48347,"Nacogdoches County, Texas",65531
48349,"Navarro County, Texas",48118
48351,"Newton County, Texas",14231
48353,"Nolan County, Texas",15061
