Id2,Geography,POP_TTL,mils,genX,boomers,silents
48001,"Anderson County, Texas",57915,15811,13842,15753,3185
48003,"Andrews County, Texas",16775,4680,3321,3590,839
48005,"Angelina County, Texas",87748,22902,16584,23341,5616
48007,"Aransas County, Texas",24292,4591,4032,9304,2624
48009,"Archer County, Texas",8779,2002,1659,2932,676
48011,"Armstrong County, Texas",1943,437,344,651,194
48013,"Atascosa County, Texas",47050,12280,8704,12468,2588
48015,"Austin County, Texas",28886,6528,5459,9070,1964
48017,"Bailey County, Texas",7126,1746,1254,1696,599
48019,"Bandera County, Texas",20796,3681,3369,8921,1851
48021,"Bastrop County, Texas",76948,18391,15467,22777,3924
48023,"Baylor County, Texas",3628,613,729,1288,432
48025,"Bee County, Texas",32659,10418,7152,7708,1600
48027,"Bell County, Texas",326041,109550,59339,66186,12716
48029,"Bexar County, Texas",1825502,556778,357798,421691,83973
48031,"Blanco County, Texas",10723,1962,1877,4311,858
48033,"Borden County, Texas",705,152,119,161,88
48035,"Bosque County, Texas",17971,3594,3001,6326,1797
48037,"Bowie County, Texas",93155,24593,18165,25711,6148
48039,"Brazoria County, Texas",331741,88243,72320,82272,13601
48041,"Brazos County, Texas",205271,97298,30380,34691,6979
48043,"Brewster County, Texas",9235,2198,1718,3121,619
48045,"Briscoe County, Texas",1670,376,311,518,152
48047,"Brooks County, Texas",7221,2448,1141,1661,570
48049,"Brown County, Texas",37833,9420,6545,11615,3102
48051,"Burleson County, Texas",17293,3753,3268,5499,1453
48053,"Burnet County, Texas",44144,9756,7504,15053,3885
48055,"Caldwell County, Texas",39347,11725,7476,10348,2164
48057,"Calhoun County, Texas",21666,5503,3965,6175,1495
48059,"Callahan County, Texas",13532,2828,2436,4506,1137
48061,"Cameron County, Texas",417947,117443,76484,90277,22569
48063,"Camp County, Texas",12516,3204,2115,3530,951
48065,"Carson County, Texas",6068,1390,1001,1905,467
48067,"Cass County, Texas",30328,6642,5398,10039,2699
48069,"Castro County, Texas",7948,1971,1383,2003,572
48071,"Chambers County, Texas",37251,9611,8121,9574,1378
48073,"Cherokee County, Texas",51167,12945,9517,14173,3531
48075,"Childress County, Texas",7059,2372,1200,1765,508
48077,"Clay County, Texas",10479,2190,1834,3751,880
48079,"Cochran County, Texas",2993,790,524,748,215
48081,"Coke County, Texas",3238,554,576,1221,369
48083,"Coleman County, Texas",8536,1733,1374,3116,828
48085,"Collin County, Texas",862215,221589,212967,203483,28453
48087,"Collingsworth County, Texas",3058,700,361,985,281
48089,"Colorado County, Texas",20757,4484,3425,6829,1993
48091,"Comal County, Texas",119632,26798,22969,39479,7896
48093,"Comanche County, Texas",13623,2834,2370,4468,1321
48095,"Concho County, Texas",4086,1079,1009,1099,294
48097,"Cooke County, Texas",38761,9613,6744,11977,2830
48099,"Coryell County, Texas",76128,27102,15606,14008,2512
48101,"Cottle County, Texas",1510,266,148,598,163
48103,"Crane County, Texas",4730,1320,856,1135,251
48105,"Crockett County, Texas",3699,910,618,1254,200
48107,"Crosby County, Texas",6007,1424,997,1706,481
48109,"Culberson County, Texas",2296,661,328,726,142
48111,"Dallam County, Texas",7014,2139,1312,1473,224
48113,"Dallas County, Texas",2485003,745501,516881,554156,96915
48115,"Dawson County, Texas",13542,4361,2302,3196,934
48117,"Deaf Smith County, Texas",19245,5369,3406,4215,1058
48119,"Delta County, Texas",5223,1170,883,1755,444
48121,"Denton County, Texas",731851,214432,171253,165398,20492
48123,"DeWitt County, Texas",20540,4642,3923,6224,1992
48125,"Dickens County, Texas",2281,424,486,782,194
48127,"Dimmit County, Texas",10682,2724,1987,2660,662
48129,"Donley County, Texas",3588,958,513,1123,416
48131,"Duval County, Texas",11577,3276,2130,3010,903
48133,"Eastland County, Texas",18328,4509,2676,5993,1796
48135,"Ector County, Texas",149557,46662,26621,32304,6281
48137,"Edwards County, Texas",1906,337,366,753,177
48139,"Ellis County, Texas",157058,41777,32040,40992,6753
48141,"El Paso County, Texas",831095,255146,155415,182010,40724
48143,"Erath County, Texas",40039,14854,6206,9409,2442
