COUNTY,POP_TTL,TOTALVOTES,NO DIPLOMA,DIPLOMA,BACHELORS,GRADUATE,MILS,GENX,BOOMERS,SILENTS,WINNER
"Anderson County, Texas",57915,16977,9652,17948,3221,1604,15811,13842,15753,3185,TRUMP
"Andrews County, Texas",16775,4943,2907,4139,937,286,4680,3321,3590,839,TRUMP
"Angelina County, Texas",87748,29911,12955,20621,6086,2923,22902,16584,23341,5616,TRUMP
"Aransas County, Texas",24292,10512,3246,6223,2298,1265,4591,4032,9304,2624,TRUMP
"Archer County, Texas",8779,4283,820,2503,1041,262,2002,1659,2932,676,TRUMP
"Armstrong County, Texas",1943,1021,142,431,239,95,437,344,651,194,TRUMP
"Atascosa County, Texas",47050,13673,7979,12192,2956,1415,12280,8704,12468,2588,TRUMP
"Austin County, Texas",28886,12274,3425,7057,2890,1103,6528,5459,9070,1964,TRUMP
"Bailey County, Texas",7126,1793,1681,1677,198,138,1746,1254,1696,599,TRUMP
"Bandera County, Texas",20796,10218,2522,5224,2461,1141,3681,3369,8921,1851,TRUMP
"Bastrop County, Texas",76948,28454,11419,17754,6324,3022,18391,15467,22777,3924,TRUMP
"Baylor County, Texas",3628,1499,381,931,518,165,613,729,1288,432,TRUMP
"Bee County, Texas",32659,8485,6998,8806,1403,751,10418,7152,7708,1600,TRUMP
"Bell County, Texas",326041,94994,23934,70468,31800,15674,109550,59339,66186,12716,TRUMP
"Bexar County, Texas",1825502,589645,221741,351781,209763,110611,556778,357798,421691,83973,CLINTON
"Blanco County, Texas",10723,5685,974,2590,1667,691,1962,1877,4311,858,TRUMP
"Borden County, Texas",705,365,38,145,103,48,152,119,161,88,TRUMP
"Bosque County, Texas",17971,7838,2530,4891,1517,698,3594,3001,6326,1797,TRUMP
"Bowie County, Texas",93155,34602,9372,25919,7703,3979,24593,18165,25711,6148,TRUMP
"Brazoria County, Texas",331741,121181,34157,63945,41770,21582,88243,72320,82272,13601,TRUMP
"Brazos County, Texas",205271,67211,18274,28550,28010,19435,97298,30380,34691,6979,TRUMP
"Brewster County, Texas",9235,4252,872,1602,1635,1065,2198,1718,3121,619,TRUMP
"Briscoe County, Texas",1670,736,289,320,189,65,376,311,518,152,TRUMP
"Brooks County, Texas",7221,2596,1602,2040,344,181,2448,1141,1661,570,CLINTON
"Brown County, Texas",37833,14026,4342,10784,3597,1244,9420,6545,11615,3102,TRUMP
"Burleson County, Texas",17293,6960,2864,4809,1271,589,3753,3268,5499,1453,TRUMP
"Burnet County, Texas",44144,19204,5443,11260,4930,2203,9756,7504,15053,3885,TRUMP
