County,POP_TTL,VOTER_TURNOUT_PCT,NO DIPLOMA,DIPLOMA,BACHELORS,GRADUATE,MILS,GENX,BOOMERS,SILENTS,WINNER
Anderson,57915,29,9652,17948,3221,1604,15811,13842,15753,3185,TRUMP
Andrews,16775,29,2907,4139,937,286,4680,3321,3590,839,TRUMP
Angelina,87748,34,12955,20621,6086,2923,22902,16584,23341,5616,TRUMP
Aransas,24292,43,3246,6223,2298,1265,4591,4032,9304,2624,TRUMP
Archer,8779,49,820,2503,1041,262,2002,1659,2932,676,TRUMP
Armstrong,1943,53,142,431,239,95,437,344,651,194,TRUMP
Atascosa,47050,29,7979,12192,2956,1415,12280,8704,12468,2588,TRUMP
Austin,28886,42,3425,7057,2890,1103,6528,5459,9070,1964,TRUMP
Bailey,7126,25,1681,1677,198,138,1746,1254,1696,599,TRUMP
Bandera,20796,49,2522,5224,2461,1141,3681,3369,8921,1851,TRUMP
Bastrop,76948,37,11419,17754,6324,3022,18391,15467,22777,3924,TRUMP
Baylor,3628,41,381,931,518,165,613,729,1288,432,TRUMP
Bee,32659,26,6998,8806,1403,751,10418,7152,7708,1600,TRUMP
Bell,326041,29,23934,70468,31800,15674,109550,59339,66186,12716,TRUMP
Bexar,1825502,32,221741,351781,209763,110611,556778,357798,421691,83973,CLINTON
Blanco,10723,53,974,2590,1667,691,1962,1877,4311,858,TRUMP
Borden,705,52,38,145,103,48,152,119,161,88,TRUMP
Bosque,17971,44,2530,4891,1517,698,3594,3001,6326,1797,TRUMP
Bowie,93155,37,9372,25919,7703,3979,24593,18165,25711,6148,TRUMP
Brazoria,331741,37,34157,63945,41770,21582,88243,72320,82272,13601,TRUMP
Brazos,205271,33,18274,28550,28010,19435,97298,30380,34691,6979,TRUMP
Brewster,9235,46,872,1602,1635,1065,2198,1718,3121,619,TRUMP
Briscoe,1670,44,289,320,189,65,376,311,518,152,TRUMP
Brooks,7221,36,1602,2040,344,181,2448,1141,1661,570,CLINTON
Brown,37833,37,4342,10784,3597,1244,9420,6545,11615,3102,TRUMP
Burleson,17293,40,2864,4809,1271,589,3753,3268,5499,1453,TRUMP
Burnet,44144,44,5443,11260,4930,2203,9756,7504,15053,3885,TRUMP
Caldwell,39347,31,6228,11397,2896,1122,11725,7476,10348,2164,TRUMP
Calhoun,21666,32,3288,5219,1606,789,5503,3965,6175,1495,TRUMP
