County,Population,Voter Turnout (%),No Diploma (%),Diploma (%),Bachelors (%),Masters (%),Millennials (%),GenX (%),Boomers (%),Silents (%),Winner
Anderson,57915,29,17,31,6,3,27,24,27,5,TRUMP
Andrews,16775,29,17,25,6,2,28,20,21,5,TRUMP
Angelina,87748,34,15,24,7,3,26,19,27,6,TRUMP
Aransas,24292,43,13,26,9,5,19,17,38,11,TRUMP
Archer,8779,49,9,29,12,3,23,19,33,8,TRUMP
Armstrong,1943,53,7,22,12,5,22,18,34,10,TRUMP
Atascosa,47050,29,17,26,6,3,26,18,26,6,TRUMP
Austin,28886,42,12,24,10,4,23,19,31,7,TRUMP
Bailey,7126,25,24,24,3,2,25,18,24,8,TRUMP
Bandera,20796,49,12,25,12,5,18,16,43,9,TRUMP
Bastrop,76948,37,15,23,8,4,24,20,30,5,TRUMP
Baylor,3628,41,11,26,14,5,17,20,36,12,TRUMP
Bee,32659,26,21,27,4,2,32,22,24,5,TRUMP
Bell,326041,29,7,22,10,5,34,18,20,4,TRUMP
Bexar,1825502,32,12,19,11,6,30,20,23,5,CLINTON
Blanco,10723,53,9,24,16,6,18,18,40,8,TRUMP
Borden,705,52,5,21,15,7,22,17,23,12,TRUMP
Bosque,17971,44,14,27,8,4,20,17,35,10,TRUMP
Bowie,93155,37,10,28,8,4,26,19,28,7,TRUMP
Brazoria,331741,37,10,19,13,7,27,22,25,4,TRUMP
Brazos,205271,33,9,14,14,9,47,15,17,3,TRUMP
Brewster,9235,46,9,17,18,12,24,19,34,7,TRUMP
Briscoe,1670,44,17,19,11,4,23,19,31,9,TRUMP
Brooks,7221,36,22,28,5,3,34,16,23,8,CLINTON
Brown,37833,37,11,29,10,3,25,17,31,8,TRUMP
Burleson,17293,40,17,28,7,3,22,19,32,8,TRUMP
Burnet,44144,44,12,26,11,5,22,17,34,9,TRUMP
Caldwell,39347,31,16,29,7,3,30,19,26,5,TRUMP
Calhoun,21666,32,15,24,7,4,25,18,29,7,TRUMP
Callahan,13532,41,10,30,8,2,21,18,33,8,TRUMP
Cameron,417947,22,23,17,7,3,28,18,22,5,CLINTON
Camp,12516,36,16,27,6,3,26,17,28,8,TRUMP
Carson,6068,49,9,21,11,6,23,16,31,8,TRUMP
Cass,30328,41,11,34,7,3,22,18,33,9,TRUMP
Castro,7948,25,21,23,6,2,25,17,25,7,TRUMP
Chambers,37251,45,13,24,9,3,26,22,26,4,TRUMP
Cherokee,51167,33,16,25,8,3,25,19,28,7,TRUMP
Childress,7059,30,13,31,8,4,34,17,25,7,TRUMP
Clay,10479,48,9,30,8,3,21,18,36,8,TRUMP
Cochran,2993,30,25,21,5,3,26,18,25,7,TRUMP
Coke,3238,44,10,26,12,5,17,18,38,11,TRUMP
Coleman,8536,43,15,32,7,2,20,16,37,10,TRUMP
Collin,862215,42,5,12,22,11,26,25,24,3,TRUMP
Collingsworth,3058,38,17,23,9,3,23,12,32,9,TRUMP
Colorado,20757,41,14,30,11,3,22,17,33,10,TRUMP
Comal,119632,52,8,21,16,7,22,19,33,7,TRUMP
Comanche,13623,38,17,29,8,4,21,17,33,10,TRUMP
Concho,4086,26,30,27,7,3,26,25,27,7,TRUMP
Cooke,38761,41,10,25,10,4,25,17,31,7,TRUMP
Coryell,76128,24,9,24,7,3,36,20,18,3,TRUMP
Cottle,1510,41,18,22,8,3,18,10,40,11,TRUMP
Crane,4730,29,20,22,6,2,28,18,24,5,TRUMP
Crockett,3699,38,22,22,6,3,25,17,34,5,TRUMP
Crosby,6007,29,22,23,6,2,24,17,28,8,TRUMP
Culberson,2296,33,26,27,5,2,29,14,32,6,CLINTON
Dallam,7014,22,16,26,6,1,30,19,21,3,TRUMP
Dallas,2485003,31,16,17,13,7,30,21,22,4,CLINTON
Dawson,13542,26,22,29,5,2,32,17,24,7,TRUMP
Deaf,19245,22,18,21,7,2,28,18,22,5,TRUMP
Delta,5223,44,12,26,10,3,22,17,34,9,TRUMP
Denton,731851,41,6,15,19,8,29,23,23,3,TRUMP
DeWitt,20540,33,16,30,8,3,23,19,30,10,TRUMP
Dickens,2281,40,20,21,8,3,19,21,34,9,TRUMP
Dimmit,10682,30,22,22,4,3,26,19,25,6,CLINTON
Donley,3588,41,12,26,6,4,27,14,31,12,TRUMP
Duval,11577,36,24,26,4,2,28,18,26,8,CLINTON
